,runname,year,month,targetid,NAO,bathy,TidalExc,DistCoast,mean,p0,p5,p10,p20,p30,p40,p50,p60,p70,p80,p90,p95,p100
0,Jan-01,2001,jan,0,0.25,9,22616,1598,8.623862,2.3005655,3.210175812,3.895263386,5.506321526,6.691908455,7.490510654,8.292389393,9.384608459,10.70270233,12.0146122,14.05701065,15.94739442,24.601868
1,Jan-01,2001,jan,1,0.25,2,13604,100,5.3262978,1.6152397,2.170309067,2.272203922,3.423177719,3.423177719,3.450626373,4.68096137,5.208106041,6.525985909,7.945460796,10.08098402,11.51288428,25.031593
2,Jan-01,2001,jan,2,0.25,87,11270,64600,7.293049,0.086519,2.370795155,3.231804132,4.532732677,5.516370487,6.313759708,7.077404022,7.957791042,8.934649277,10.12485447,11.99920959,13.6036725,24.142178
3,Jan-01,2001,jan,3,0.25,2,6128,1250,7.713745,4.5279818,5.35178566,5.757340431,6.385428429,6.969115734,7.453190804,7.895145416,8.272518158,8.590037346,8.906271935,9.664477348,10.75251007,16.879898
4,Jan-01,2001,jan,4,0.25,22,10606,5800,6.937285,0.109177925,2.774195671,2.929649353,3.099383116,4.498199224,5.62999897,6.523800373,6.983730984,8.259309483,10.21938591,13.59021502,16.40564117,31.00056
5,Jan-01,2001,jan,5,0.25,50,26696,35000,8.7175665,0.12509134,2.727170157,3.56130538,4.903099346,5.932018852,6.850084114,7.952713013,9.235791016,10.79171257,12.78185482,15.67819118,18.08683701,43.539463
6,Jan-01,2001,jan,6,0.25,8,20885,3500,12.79452,1.3831358,4.007038951,5.627528906,8.233086586,10.60869598,12.52798557,14.1429739,15.6737442,18.12732983,21.28116798,23.26603889,25.95676279,40.36629
7,Jan-01,2001,jan,7,0.25,45,14773,19300,8.0234785,0.108258136,2.486720431,3.241062355,4.412489223,5.627684164,6.676510429,7.883599281,9.285929108,10.59267578,12.62538719,15.48348141,18.83741951,33.267265
8,Jan-01,2001,jan,8,0.25,31,12086,22600,10.027546,0.044321407,2.558650529,3.604689312,5.177584743,6.576540232,7.860478115,9.155054569,10.57482319,12.67842312,15.33356419,20.41901455,25.47936249,51.087933
9,Jan-01,2001,jan,9,0.25,73,8059,37700,7.274531,0.091105156,2.114968109,3.073925257,4.349401093,5.18791647,5.98927927,6.809941769,7.679085255,8.691128635,10.15818958,12.90772438,15.81543174,27.642138
10,Jan-01,2001,jan,10,0.25,39,13488,41600,8.165328,0.07451847,2.33965925,3.356265616,4.765527248,5.806312132,6.783880806,7.702874422,8.679344559,9.886486626,11.55000343,14.31222792,17.24593496,34.390884
11,Jan-01,2001,jan,11,0.25,42,17143,41700,8.358271,0.06649106,2.392404842,3.394854164,4.915627956,6.027128315,6.974362087,7.990215302,9.147272301,10.50954132,12.27862034,14.94774017,17.21383438,37.091553
12,Jan-01,2001,jan,12,0.25,69,29215,32000,10.402196,0.05977708,2.645500469,3.913856602,5.603170967,6.956839275,8.314665794,9.771307945,11.44907532,13.42181396,15.80350876,18.98048973,21.28475189,37.277283
13,Jan-01,2001,jan,13,0.25,31,11632,27000,8.724287,0.17077954,3.05713892,4.006337166,5.396630287,6.488088131,7.452093601,8.39757061,9.462363243,10.8380127,12.65977192,15.5396471,17.9468956,36.819542
14,Jan-01,2001,jan,14,0.25,84,11424,36600,7.9300485,0.056383662,2.590037107,3.529718399,4.854131699,5.8962183,6.788659573,7.670348644,8.612846375,9.759290695,11.17852592,13.31546879,15.42359543,27.718834
15,Jan-01,2001,jan,15,0.25,80,13004,63100,7.547622,0.121405624,2.254632759,3.260771656,4.641653347,5.610724163,6.53007412,7.431078434,8.334405136,9.346925926,10.65933037,12.50386887,14.03240776,23.888742
16,Jan-01,2001,jan,16,0.25,67,11690,6100,10.502037,0.056578174,2.615866256,3.77729094,5.469560623,6.824211979,8.249485397,9.778554916,11.4594759,13.46566219,16.29619217,20.37942352,24.0577199,36.67118
17,Jan-01,2001,jan,17,0.25,45,22811,39800,10.489657,0.07910779,2.731209993,3.930636215,5.622080421,6.973933315,8.348552322,9.727947235,11.36661835,13.24773808,15.51353283,18.97104378,22.22386398,41.363777
18,Jan-10,2010,jan,0,-1.11,9,22616,1598,9.550658,2.5096354,3.659666276,4.465275764,6.164497185,7.168879128,8.173165703,9.382268906,10.75814953,11.65960312,13.4380434,15.54541874,17.45970516,24.242922
